isolation_source,category_1,category_2,category_3
gut content,Animal Associated,GI Tract Related,Other animal GI tracts
rectal swab from hospitalized dog,Animal Associated,GI Tract Related,Other animal GI tracts
swine cecum,Animal Associated,GI Tract Related,Other animal GI tracts
pheasant duodenum,Animal Associated,GI Tract Related,Other animal GI tracts
rectum of clinical healthy adult laying duck,Animal Associated,GI Tract Related,Other animal GI tracts
blood,Animal Associated,Human Others,Body Fluids and Secretions
spinal fluid,Animal Associated,Human Others,Body Fluids and Secretions
patient blood,Animal Associated,Human Others,Body Fluids and Secretions
blood draw same patient as mb9267,Animal Associated,Human Others,Body Fluids and Secretions
bloodstream of patient with high level daptomycin resistance,Animal Associated,Human Others,Body Fluids and Secretions
breast milk,Animal Associated,Human Others,Body Fluids and Secretions
milk from female,Animal Associated,Human Others,Body Fluids and Secretions
milk from healthy woman,Animal Associated,Human Others,Body Fluids and Secretions
healthy breast milk,Animal Associated,Human Others,Body Fluids and Secretions
human milk,Animal Associated,Human Others,Body Fluids and Secretions
peritoneal fluid,Animal Associated,Human Others,Body Fluids and Secretions
cerebrospinal fluid,Animal Associated,Human Others,Body Fluids and Secretions
abdominal fluid,Animal Associated,Human Others,Body Fluids and Secretions
ascitic fluid,Animal Associated,Human Others,Body Fluids and Secretions
exudates or secretions of the nose; throat (tonsil); pharynx; larynx; wounds; blood; skin,Animal Associated,Human Others,Body Fluids and Secretions
bile duct discharge,Animal Associated,Human Others,Body Fluids and Secretions
ascites,Animal Associated,Human Others,Body Fluids and Secretions
pleural fluid in respiratory icu,Animal Associated,Human Others,Body Fluids and Secretions
bile specimen of liver transplant patient,Animal Associated,Human Others,Body Fluids and Secretions
surgical wound secretion,Animal Associated,Human Others,Body Fluids and Secretions
cerebrospinal fluid of a neonate with meningitis,Animal Associated,Human Others,Body Fluids and Secretions
pleural effusion,Animal Associated,Human Others,Body Fluids and Secretions
ascetic fluid,Animal Associated,Human Others,Body Fluids and Secretions
blood specimen,Animal Associated,Human Others,Body Fluids and Secretions
blood sample,Animal Associated,Human Others,Body Fluids and Secretions
blood culture,Animal Associated,Human Others,Body Fluids and Secretions
"clinical, blood",Animal Associated,Human Others,Body Fluids and Secretions
puncture fluid,Animal Associated,Human Others,Body Fluids and Secretions
bile,Animal Associated,Human Others,Body Fluids and Secretions
venous cateter,Animal Associated,Human Others,Medical Devices
central venous catheter,Animal Associated,Human Others,Medical Devices
brain,Animal Associated,Human Others,Organs and Tissues
scalp,Animal Associated,Human Others,Organs and Tissues
mammary gland lymph node,Animal Associated,Human Others,Organs and Tissues
bone marrow,Animal Associated,Human Others,Organs and Tissues
tissue,Animal Associated,Human Others,Organs and Tissues
skin,Animal Associated,Human Others,Organs and Tissues
liver,Animal Associated,Human Others,Organs and Tissues
lymph node,Animal Associated,Human Others,Organs and Tissues
pre-capsular lymph node,Animal Associated,Human Others,Organs and Tissues
hepatopancreas,Animal Associated,Human Others,Organs and Tissues
visceral,Animal Associated,Human Others,Organs and Tissues
skin swab,Animal Associated,Human Others,Organs and Tissues
heart,Animal Associated,Human Others,Organs and Tissues
intestinal and liver,Animal Associated,Human Others,Organs and Tissues
organ,Animal Associated,Human Others,Organs and Tissues
spleen,Animal Associated,Human Others,Organs and Tissues
skin lesion,Animal Associated,Human Others,Organs and Tissues
pleura,Animal Associated,Human Others,Organs and Tissues
oedematous skin disease (osd),Animal Associated,Human Others,Organs and Tissues
healthy skin surface,Animal Associated,Human Others,Organs and Tissues
scalp lesion,Animal Associated,Human Others,Organs and Tissues
pharyngeal membrane,Animal Associated,Human Others,Organs and Tissues
pre-scapular lymph node (or superficial cervical lymph node),Animal Associated,Human Others,Organs and Tissues
retropharyngeal lymph node,Animal Associated,Human Others,Organs and Tissues
inguinal lymph node,Animal Associated,Human Others,Organs and Tissues
inguinal lymph nodes,Animal Associated,Human Others,Organs and Tissues
biologic sample (parotid lymph node),Animal Associated,Human Others,Organs and Tissues
mammary,Animal Associated,Human Others,Organs and Tissues
mammary tissue,Animal Associated,Human Others,Organs and Tissues
healthy umbilicus skin sample 3,Animal Associated,Human Others,Organs and Tissues
healthy umbilicus skin sample 1,Animal Associated,Human Others,Organs and Tissues
healthy umbilicus skin sample 2,Animal Associated,Human Others,Organs and Tissues
pericardium/lung,Animal Associated,Human Others,Organs and Tissues
parotid,Animal Associated,Human Others,Organs and Tissues
mammary gland,Animal Associated,Human Others,Organs and Tissues
human cervix,Animal Associated,Human Others,Organs and Tissues
kidney,Animal Associated,Human Others,Organs and Tissues
internal organs,Animal Associated,Human Others,Organs and Tissues
heads,Animal Associated,Human Others,Other Human Body Parts
faces,Animal Associated,Human Others,Other Human Body Parts
cervical,Animal Associated,Human Others,Other Human Body Parts
ear,Animal Associated,Human Others,Other Human Body Parts
leg,Animal Associated,Human Others,Other Human Body Parts
medical specimen,Animal Associated,Human Others,Other Human Body Parts
bone fragment,Animal Associated,Human Others,Other Human Body Parts
teat canal,Animal Associated,Human Others,Other Human Body Parts
autopsy,Animal Associated,Human Others,Other Human Body Parts
